nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_E_score,original_decile,E_expanded_decile,GB_IMD_E_rank,GB_IMD_E_pop_decile,GB_IMD_E_pop_quintile
E,E01005823,27.966,15.8,13.3,27.966,3,3.0,11442.0,3,2
S,S01011792,30.458982979329136,19.0,15.0,27.963497673599612,3,3.0,11443.0,3,2
E,E01003656,27.96,16.1,12.1,27.96,3,3.0,11444.0,3,2
E,E01005331,27.959,18.2,13.200000000000001,27.959,3,3.0,11445.5,3,2
E,E01008639,27.959,20.9,15.5,27.959,3,3.0,11445.5,3,2
E,E01014644,27.958,18.7,12.4,27.958,3,3.0,11447.5,3,2
E,E01031453,27.958,17.299999999999997,12.4,27.958,3,3.0,11447.5,3,2
E,E01017349,27.957,17.5,12.8,27.957,3,3.0,11449.0,3,2
E,E01013197,27.956,13.700000000000001,10.6,27.956,3,3.0,11450.0,3,2
E,E01019296,27.954,14.899999999999999,15.9,27.954,3,3.0,11451.5,3,2
E,E01028185,27.954,18.6,14.299999999999999,27.954,3,3.0,11451.5,3,2
E,E01025536,27.952,19.3,16.3,27.952,3,3.0,11453.5,3,2
E,E01024879,27.952,14.2,13.100000000000001,27.952,3,3.0,11453.5,3,2
W,W01001182,24.5,17.0,10.0,27.951448783617256,4,3.0,11455.0,3,2
W,W01000672,24.5,14.0,9.0,27.949938082688526,4,3.0,11456.0,3,2
E,E01004333,27.949,17.9,9.700000000000001,27.949,3,3.0,11458.0,3,2
E,E01031559,27.949,15.9,9.4,27.949,3,3.0,11458.0,3,2
E,E01015385,27.949,17.9,12.4,27.949,3,3.0,11458.0,3,2
W,W01001645,24.9,19.0,9.0,27.947738085401404,4,3.0,11460.0,3,2
E,E01026235,27.946,22.400000000000002,16.7,27.946,3,3.0,11461.5,3,2
E,E01007761,27.946,18.5,15.2,27.946,3,3.0,11461.5,3,2
S,S01013329,29.54779173813008,20.0,12.0,27.944749940640843,3,3.0,11463.0,3,2
E,E01020974,27.944,15.6,13.200000000000001,27.944,3,3.0,11464.0,3,2
E,E01021266,27.942,16.400000000000002,11.0,27.942,3,3.0,11465.0,3,2
E,E01032132,27.94,16.900000000000002,12.2,27.94,3,3.0,11466.0,3,2
W,W01001189,24.0,20.0,13.0,27.939884192619022,4,3.0,11467.0,3,2
E,E01006982,27.937,15.5,13.100000000000001,27.937,3,3.0,11468.0,3,2
E,E01021276,27.936,16.7,12.3,27.936,3,3.0,11469.0,3,2
E,E01025311,27.935,14.899999999999999,10.4,27.935,3,3.0,11470.5,3,2
E,E01012197,27.935,18.3,14.299999999999999,27.935,3,3.0,11470.5,3,2
E,E01017663,27.933,17.1,10.8,27.933,3,3.0,11472.0,3,2
E,E01016729,27.932,17.1,11.799999999999999,27.932,3,3.0,11473.0,3,2
E,E01021122,27.931,18.099999999999998,14.299999999999999,27.931,3,3.0,11474.0,3,2
E,E01030901,27.928,18.0,13.200000000000001,27.928,3,3.0,11476.0,3,2
E,E01029325,27.928,11.700000000000001,9.9,27.928,3,3.0,11476.0,3,2
E,E01029397,27.928,19.6,15.2,27.928,3,3.0,11476.0,3,2
E,E01021726,27.926,15.9,12.7,27.926,3,3.0,11478.0,3,2
E,E01018534,27.925,18.6,15.299999999999999,27.925,3,3.0,11479.5,3,2
E,E01001546,27.925,18.9,11.700000000000001,27.925,3,3.0,11479.5,3,2
S,S01011750,29.878662557968067,16.0,15.0,27.924045717155142,3,3.0,11481.0,3,2
E,E01001446,27.924,18.8,11.4,27.924,3,3.0,11482.0,3,2
E,E01019554,27.923,17.1,13.0,27.923,3,3.0,11483.0,3,2
E,E01017711,27.922,17.9,13.100000000000001,27.922,3,3.0,11484.0,3,2
S,S01007592,29.88843719813029,20.0,13.0,27.91984561898449,3,3.0,11485.0,3,2
E,E01022916,27.915,15.8,12.4,27.915,3,3.0,11486.0,3,2
S,S01008923,30.06063743334112,19.0,14.0,27.91401437878866,3,3.0,11487.0,3,2
E,E01000725,27.914,19.1,11.5,27.914,3,3.0,11488.0,3,2
E,E01004964,27.913,13.200000000000001,10.299999999999999,27.913,3,3.0,11489.0,3,2
S,S01013209,30.96134341874069,20.0,16.0,27.910843560503157,3,3.0,11490.0,3,2
E,E01008288,27.91,21.3,13.0,27.91,3,3.0,11491.5,3,2
E,E01013233,27.91,16.900000000000002,11.3,27.91,3,3.0,11491.5,3,2
S,S01011803,29.69667811452095,19.0,13.0,27.908862204712268,3,3.0,11493.0,3,2
S,S01011346,30.42232312458539,21.0,14.0,27.90783452745366,3,3.0,11494.0,3,2
E,E01008631,27.907,17.7,15.2,27.907,3,3.0,11495.0,3,2
E,E01027065,27.905,15.2,12.7,27.905,3,3.0,11496.0,3,2
E,E01012997,27.903,14.2,10.2,27.903,3,3.0,11497.0,3,2
E,E01017227,27.901,7.8,5.800000000000001,27.901,3,3.0,11498.0,3,2
S,S01007916,30.22693136917548,18.0,15.0,27.9005686693033,3,3.0,11499.0,3,2
W,W01001176,24.2,20.0,12.0,27.899580112260075,4,3.0,11500.5,3,2
W,W01000238,24.2,20.0,12.0,27.899580112260075,4,3.0,11500.5,3,2
W,W01000111,24.2,17.0,11.0,27.898069411331342,4,3.0,11502.0,3,2
E,E01004600,27.898,21.5,11.899999999999999,27.898,3,3.0,11503.0,3,2
E,E01028210,27.897,19.6,15.0,27.897,3,3.0,11504.0,3,2
E,E01007903,27.896,22.8,14.000000000000002,27.896,3,3.0,11505.0,3,2
E,E01000082,27.895,15.8,11.3,27.895,3,3.0,11506.0,3,2
S,S01008525,30.408592993295297,21.0,14.0,27.890133483807574,3,3.0,11507.0,3,2
E,E01010877,27.89,15.2,11.200000000000001,27.89,3,3.0,11508.5,3,2
E,E01019437,27.89,18.4,15.4,27.89,3,3.0,11508.5,3,2
S,S01008192,30.58205900242105,20.0,15.0,27.885934093944485,3,3.0,11510.0,3,2
E,E01008240,27.885,15.4,15.1,27.885,3,3.0,11511.0,3,2
E,E01029381,27.884,20.3,13.900000000000002,27.884,3,3.0,11512.0,3,2
E,E01003050,27.883,12.2,6.6000000000000005,27.883,3,3.0,11513.0,3,2
E,E01014445,27.882,18.8,13.700000000000001,27.882,3,3.0,11514.0,3,2
S,S01010020,30.40135322125373,21.0,14.0,27.88079988617563,3,3.0,11515.0,3,2
E,E01031956,27.88,12.4,9.700000000000001,27.88,3,3.0,11516.0,3,2
E,E01001819,27.879,20.0,11.3,27.879,3,3.0,11517.0,3,2
S,S01009902,30.92960234999488,20.0,16.0,27.8699226085201,3,3.0,11518.0,3,2
E,E01024570,27.867,13.700000000000001,10.299999999999999,27.867,3,3.0,11519.0,3,2
S,S01013261,30.029618581554697,21.0,13.0,27.865623678728312,3,3.0,11520.0,3,2
E,E01025989,27.865,15.9,11.899999999999999,27.865,3,3.0,11521.0,3,2
E,E01028524,27.863,19.400000000000002,12.9,27.863,3,3.0,11522.5,3,2
E,E01011267,27.863,15.299999999999999,11.600000000000001,27.863,3,3.0,11522.5,3,2
E,E01009835,27.861,18.6,15.4,27.861,3,3.0,11524.0,3,2
E,E01000138,27.86,17.8,12.7,27.86,3,3.0,11525.0,3,2
E,E01000305,27.857,16.400000000000002,11.700000000000001,27.857,3,3.0,11526.0,3,2
E,E01020228,27.853,18.099999999999998,15.1,27.853,3,3.0,11527.0,3,2
S,S01007841,30.00650184715664,17.0,15.0,27.8526229950995,3,3.0,11528.0,3,2
E,E01014461,27.85,13.8,10.5,27.85,3,3.0,11529.5,3,2
E,E01001645,27.85,19.7,13.8,27.85,3,3.0,11529.5,3,2
W,W01001365,23.5,18.0,14.0,27.849911438190013,4,3.0,11531.0,3,2
E,E01007050,27.849,15.7,13.8,27.849,3,3.0,11532.5,3,2
E,E01001711,27.849,18.0,7.8,27.849,3,3.0,11532.5,3,2
E,E01015638,27.848,11.899999999999999,11.0,27.848,3,3.0,11534.0,3,2
E,E01005012,27.847,19.900000000000002,13.3,27.847,3,3.0,11535.5,3,2
E,E01012497,27.847,16.1,15.9,27.847,3,3.0,11535.5,3,2
E,E01020643,27.844,18.3,14.499999999999998,27.844,3,3.0,11537.0,3,2
E,E01002554,27.843,16.8,10.5,27.843,3,3.0,11538.0,3,2
E,E01005128,27.842,0.8999999999999999,0.7000000000000001,27.842,3,3.0,11539.0,3,2
E,E01001180,27.841,16.900000000000002,8.799999999999999,27.841,3,3.0,11540.0,3,2
S,S01008223,31.44335577455724,19.0,18.0,27.84035730181897,3,3.0,11541.0,3,2
E,E01009876,27.839,17.2,13.900000000000002,27.839,3,3.0,11542.0,3,2
W,W01000683,24.3,13.0,9.0,27.83795793897211,4,3.0,11543.0,3,2
E,E01017191,27.836,11.700000000000001,9.5,27.836,3,3.0,11544.0,3,2
E,E01011039,27.835,17.2,15.4,27.835,3,3.0,11545.5,3,2
E,E01001669,27.835,19.3,15.1,27.835,3,3.0,11545.5,3,2
S,S01007500,28.727546810633875,16.0,12.0,27.832219151581256,3,3.0,11547.0,3,2
E,E01014612,27.832,14.000000000000002,11.799999999999999,27.832,3,3.0,11548.0,3,2
E,E01024059,27.828,18.4,16.0,27.828,3,3.0,11549.0,3,2
E,E01031657,27.826,7.8,10.100000000000001,27.826,3,3.0,11550.0,3,2
E,E01025071,27.825,12.0,10.7,27.825,3,3.0,11551.0,3,2
E,E01008226,27.824,14.7,12.9,27.824,3,3.0,11552.0,3,2
S,S01007616,30.704095462410468,17.0,17.0,27.82383197457076,3,3.0,11553.0,3,2
E,E01020667,27.821,18.2,16.8,27.821,3,3.0,11554.5,3,2
E,E01004323,27.821,20.1,9.5,27.821,3,3.0,11554.5,3,2
E,E01031172,27.819,17.1,13.0,27.819,3,3.0,11556.5,3,2
E,E01011172,27.819,21.5,14.000000000000002,27.819,3,3.0,11556.5,3,2
E,E01000381,27.812,14.899999999999999,12.9,27.812,3,3.0,11558.0,3,2
S,S01012097,28.71158639318833,16.0,12.0,27.811642797295615,3,3.0,11559.0,3,2
W,W01001044,23.7,21.0,14.0,27.8111180587598,4,3.0,11560.0,3,2
E,E01005916,27.81,15.0,11.4,27.81,3,3.0,11561.5,3,2
E,E01031360,27.81,15.7,12.8,27.81,3,3.0,11561.5,3,2
E,E01009947,27.808,16.5,11.3,27.808,3,3.0,11563.0,3,2
E,E01031176,27.804,17.599999999999998,12.8,27.804,3,3.0,11564.0,3,2
S,S01009767,27.61833363130941,14.0,10.0,27.802814698574274,3,3.0,11565.0,3,2
E,E01026861,27.801,15.299999999999999,8.6,27.801,3,3.0,11566.0,3,2
E,E01011717,27.8,15.0,12.4,27.8,3,3.0,11567.5,3,2
E,E01015235,27.8,14.2,13.600000000000001,27.8,3,3.0,11567.5,3,2
E,E01002540,27.799,17.7,11.700000000000001,27.799,3,3.0,11569.0,3,2
E,E01009624,27.798,14.099999999999998,10.299999999999999,27.798,3,3.0,11570.0,3,2
E,E01013732,27.795,18.8,11.5,27.795,3,3.0,11571.0,3,2
S,S01012877,30.33179628696682,21.0,14.0,27.791126284103896,3,3.0,11572.0,3,2
E,E01010671,27.791,17.1,11.3,27.791,3,3.0,11573.5,3,2
E,E01033735,27.791,14.399999999999999,7.1,27.791,3,3.0,11573.5,3,2
E,E01002701,27.789,18.6,10.8,27.789,3,3.0,11575.0,3,2
S,S01008003,29.06666137814029,20.0,11.0,27.78853950863669,3,3.0,11576.0,3,2
E,E01004434,27.787,18.6,11.5,27.787,3,3.0,11577.0,3,2
E,E01013231,27.782,18.3,11.5,27.782,3,3.0,11578.0,3,2
E,E01003572,27.781,18.3,10.100000000000001,27.781,3,3.0,11579.5,3,2
E,E01006916,27.781,12.9,13.8,27.781,3,3.0,11579.5,3,2
E,E01028030,27.78,15.7,13.8,27.78,3,3.0,11581.0,3,2
E,E01005118,27.777,12.9,9.0,27.777,3,3.0,11582.0,3,2
E,E01002756,27.776,18.099999999999998,13.600000000000001,27.776,3,3.0,11583.5,3,2
E,E01017605,27.776,16.1,10.6,27.776,3,3.0,11583.5,3,2
S,S01011687,29.220599735833687,15.0,14.0,27.77596652230682,3,3.0,11585.0,3,2
W,W01001175,23.5,19.0,14.0,27.774524676616696,4,3.0,11586.0,3,2
E,E01029437,27.774,17.2,12.4,27.774,3,3.0,11587.0,3,2
E,E01010491,27.771,19.0,14.899999999999999,27.771,3,3.0,11588.0,3,2
E,E01004230,27.77,18.4,10.4,27.77,3,3.0,11589.0,3,2
W,W01000140,24.3,23.0,12.0,27.767103280184994,4,3.0,11590.0,3,2
S,S01007978,30.29976990730647,17.0,16.0,27.766639183023802,3,3.0,11591.0,3,2
E,E01031077,27.765,19.0,12.1,27.765,3,3.0,11592.5,3,2
E,E01001192,27.765,16.7,11.4,27.765,3,3.0,11592.5,3,2
S,S01008222,30.298158704049573,17.0,16.0,27.764562001198627,3,3.0,11594.0,3,2
E,E01021131,27.763,19.3,15.1,27.763,3,3.0,11595.0,3,2
E,E01012753,27.761,9.5,10.7,27.761,3,3.0,11596.0,3,2
S,S01009937,27.775004338618167,17.0,9.0,27.760160934837597,3,3.0,11597.0,3,2
E,E01020871,27.756,17.0,14.000000000000002,27.756,3,3.0,11598.0,3,2
E,E01016358,27.753,17.0,9.1,27.753,3,3.0,11599.0,3,2
E,E01006805,27.752,19.7,15.9,27.752,3,3.0,11600.0,3,2
E,E01027180,27.75,17.299999999999997,13.900000000000002,27.75,3,3.0,11601.0,3,2
E,E01001589,27.748,17.7,13.5,27.748,3,3.0,11602.5,3,2
E,E01027380,27.748,9.4,9.3,27.748,3,3.0,11602.5,3,2
E,E01010987,27.746,13.200000000000001,12.7,27.746,3,3.0,11604.0,3,2
E,E01017595,27.745,20.5,13.200000000000001,27.745,3,3.0,11605.0,3,2
E,E01006009,27.744,15.0,12.8,27.744,3,3.0,11606.0,3,2
E,E01000481,27.74,16.900000000000002,11.700000000000001,27.74,3,3.0,11607.0,3,2
E,E01025221,27.735,16.3,13.3,27.735,3,3.0,11608.0,3,2
E,E01031811,27.734,15.1,15.7,27.734,3,3.0,11609.0,3,2
S,S01013164,30.633832092384434,17.0,17.0,27.733247627394903,3,3.0,11610.0,3,2
S,S01008928,27.203642468746388,14.0,9.0,27.732258446316436,3,3.0,11611.0,3,2
E,E01013614,27.732,16.5,11.799999999999999,27.732,3,3.0,11612.0,3,2
E,E01018747,27.73,12.2,11.3,27.73,3,3.0,11613.0,3,2
E,E01003972,27.729,17.9,9.8,27.729,3,3.0,11614.0,3,2
W,W01001598,24.1,18.0,11.0,27.72899919711316,4,3.0,11615.0,3,2
E,E01012817,27.728,16.2,11.1,27.728,3,3.0,11616.0,3,2
E,E01012239,27.725,18.9,14.099999999999998,27.725,3,3.0,11617.0,3,2
E,E01031795,27.721,18.099999999999998,13.100000000000001,27.721,3,3.0,11618.0,3,2
E,E01022807,27.716,16.5,11.0,27.716,3,3.0,11619.0,3,2
E,E01003569,27.715,16.2,7.6,27.715,3,3.0,11620.0,3,2
E,E01005469,27.713,15.1,11.4,27.713,3,3.0,11621.5,3,2
E,E01015761,27.713,17.299999999999997,12.7,27.713,3,3.0,11621.5,3,2
E,E01024090,27.712,14.399999999999999,7.5,27.712,3,3.0,11623.0,3,2
E,E01025149,27.711,14.299999999999999,11.1,27.711,3,3.0,11624.0,3,2
S,S01011029,30.80589861477573,20.0,16.0,27.710442326064392,3,3.0,11625.0,3,2
E,E01002312,27.707,15.8,11.5,27.707,3,3.0,11626.0,3,2
E,E01015449,27.706,18.0,13.4,27.706,3,3.0,11627.5,3,2
E,E01029720,27.706,19.6,14.899999999999999,27.706,3,3.0,11627.5,3,2
E,E01005059,27.703,17.8,14.2,27.703,3,3.0,11629.5,3,2
E,E01030745,27.703,17.2,10.4,27.703,3,3.0,11629.5,3,2
W,W01001558,23.5,20.0,14.0,27.69913791504338,4,3.0,11631.0,3,2
E,E01030161,27.698,15.8,13.5,27.698,3,3.0,11632.0,3,2
S,S01009478,30.42193927773094,16.0,17.0,27.696307574803548,3,3.0,11633.0,3,2
E,E01028254,27.696,16.2,15.2,27.696,3,3.0,11634.0,3,2
E,E01030115,27.695,15.6,11.600000000000001,27.695,3,3.0,11635.0,3,2
E,E01020018,27.692,14.2,11.600000000000001,27.692,3,3.0,11636.5,3,2
E,E01002527,27.692,19.7,11.700000000000001,27.692,3,3.0,11636.5,3,2
E,E01017552,27.69,12.0,7.1,27.69,3,3.0,11638.0,3,2
E,E01026008,27.683,11.1,10.4,27.683,3,3.0,11639.0,3,2
E,E01013971,27.681,13.5,13.100000000000001,27.681,3,3.0,11640.0,3,2
W,W01000718,23.4,19.0,14.0,27.68084122397183,4,3.0,11641.0,3,2
E,E01019530,27.678,17.299999999999997,15.0,27.678,3,3.0,11642.5,3,2
E,E01033423,27.678,9.3,8.0,27.678,3,3.0,11642.5,3,2
E,E01008413,27.677,13.5,10.7,27.677,3,3.0,11644.5,3,2
E,E01010411,27.677,17.7,13.0,27.677,3,3.0,11644.5,3,2
W,W01001899,23.8,15.0,11.0,27.674109123898518,4,3.0,11646.0,3,2
E,E01001789,27.673,17.2,11.3,27.673,3,3.0,11647.0,3,2
E,E01022552,27.671,14.899999999999999,11.3,27.671,3,3.0,11648.5,3,2
E,E01000148,27.671,18.6,11.5,27.671,3,3.0,11648.5,3,2
E,E01003269,27.67,16.5,11.200000000000001,27.67,3,3.0,11650.0,3,2
E,E01015971,27.669,18.7,10.9,27.669,3,3.0,11651.0,3,2
E,E01004746,27.661,19.8,15.5,27.661,3,3.0,11652.0,3,2
E,E01005476,27.659,14.6,13.5,27.659,3,3.0,11653.0,3,2
E,E01015619,27.658,17.2,12.1,27.658,3,3.0,11654.0,3,2
E,E01007993,27.655,16.8,14.000000000000002,27.655,3,3.0,11655.0,3,2
E,E01006340,27.654,17.2,14.6,27.654,3,3.0,11656.0,3,2
E,E01013745,27.652,24.099999999999998,9.9,27.652,3,3.0,11657.0,3,2
E,E01010322,27.649,16.5,11.0,27.649,3,3.0,11658.0,3,2
E,E01020991,27.647,16.400000000000002,11.5,27.647,3,3.0,11659.5,3,2
E,E01016084,27.647,16.8,11.5,27.647,3,3.0,11659.5,3,2
S,S01011341,30.748914880327916,18.0,17.0,27.645379076778713,3,3.0,11661.0,3,2
E,E01027969,27.642,17.4,14.299999999999999,27.642,3,3.0,11662.0,3,2
E,E01030914,27.64,16.7,16.8,27.64,3,3.0,11663.0,3,2
W,W01001528,23.6,16.0,12.0,27.639026442684152,4,3.0,11664.0,3,2
E,E01011033,27.639,13.8,11.5,27.639,3,3.0,11665.0,3,2
S,S01012969,30.02600270900548,20.0,14.0,27.633128284243504,3,3.0,11666.0,3,2
E,E01026009,27.633,12.1,10.6,27.633,3,3.0,11667.0,3,2
E,E01008842,27.632,16.900000000000002,16.2,27.632,3,3.0,11668.5,3,2
E,E01005216,27.632,13.3,8.7,27.632,3,3.0,11668.5,3,2
E,E01008871,27.631,17.7,15.8,27.631,3,3.0,11670.0,3,2
S,S01010351,29.11999817440132,19.0,12.0,27.629468151771896,3,3.0,11671.0,3,2
E,E01025727,27.626,20.0,12.6,27.626,3,3.0,11672.0,3,2
E,E01026248,27.624,9.9,10.4,27.624,3,3.0,11673.0,3,2
E,E01002065,27.623,14.000000000000002,9.8,27.623,3,3.0,11674.5,3,2
E,E01011304,27.623,16.1,14.399999999999999,27.623,3,3.0,11674.5,3,2
W,W01000065,23.5,18.0,13.0,27.622240452541327,4,3.0,11676.0,3,2
S,S01008951,29.28990691766843,18.0,13.0,27.620682693728213,3,3.0,11677.0,3,2
S,S01013187,29.28911408035497,18.0,13.0,27.619660558717758,3,3.0,11678.0,3,2
S,S01012167,28.73770253949905,15.0,13.0,27.617478264505174,3,3.0,11679.0,3,2
E,E01001983,27.617,17.0,12.0,27.617,3,3.0,11680.5,3,2
E,E01011478,27.617,14.6,9.3,27.617,3,3.0,11680.5,3,2
E,E01009209,27.614,14.2,11.3,27.614,3,3.0,11682.0,3,2
S,S01011555,28.380178145261965,17.0,11.0,27.612221230920117,3,3.0,11683.0,3,2
E,E01025407,27.611,16.0,11.600000000000001,27.611,3,3.0,11684.0,3,2
S,S01009817,30.72727937517888,20.0,16.0,27.609085495446898,3,3.0,11685.0,3,2
S,S01012891,28.74381633564031,19.0,11.0,27.60855856399224,3,3.0,11686.0,3,2
E,E01028466,27.608,14.6,9.8,27.608,3,3.0,11687.0,3,2
E,E01018759,27.607,11.899999999999999,9.9,27.607,3,3.0,11688.0,3,2
E,E01008229,27.605,12.7,11.3,27.605,3,3.0,11689.5,3,2
E,E01010144,27.605,17.0,13.0,27.605,3,3.0,11689.5,3,2
S,S01007101,27.8236149199579,14.0,11.0,27.60339732568862,3,3.0,11691.0,3,2
E,E01004317,27.603,17.2,9.0,27.603,3,3.0,11692.0,3,2
S,S01013056,29.817908691590137,19.0,14.0,27.60108568487342,3,3.0,11693.0,3,2
W,W01000386,23.8,19.0,12.0,27.60023306325393,4,3.0,11694.0,3,2
E,E01026972,27.6,14.6,11.4,27.6,3,3.0,11695.0,3,2
E,E01006543,27.597,11.600000000000001,10.4,27.597,3,3.0,11696.0,3,2
S,S01012763,29.085991530323398,17.0,13.0,27.59402723244827,3,3.0,11697.0,3,2
E,E01025469,27.591,21.4,18.099999999999998,27.591,3,3.0,11698.0,3,2
E,E01003109,27.59,14.399999999999999,8.9,27.59,3,3.0,11699.0,3,2
S,S01011021,26.908287034385804,13.0,9.0,27.587717421597606,3,3.0,11700.0,3,2
E,E01032157,27.587,19.7,17.2,27.587,3,3.0,11701.0,3,2
E,E01022549,27.581,15.4,12.5,27.581,3,3.0,11702.0,3,2
W,W01000685,23.7,15.0,11.0,27.58042567125365,4,3.0,11703.0,3,2
E,E01024217,27.58,19.0,13.8,27.58,3,3.0,11704.0,3,2
E,E01016919,27.579,17.2,13.700000000000001,27.579,3,3.0,11705.5,3,2
E,E01015089,27.579,13.200000000000001,11.1,27.579,3,3.0,11705.5,3,2
E,E01002777,27.576,17.5,10.7,27.576,3,3.0,11707.5,3,2
E,E01014590,27.576,14.099999999999998,11.799999999999999,27.576,3,3.0,11707.5,3,2
S,S01007472,28.352409805100116,19.0,10.0,27.56802112794314,3,3.0,11709.0,3,2
E,E01031789,27.568,12.3,13.100000000000001,27.568,3,3.0,11710.0,3,2
S,S01007438,31.40808919115295,18.0,19.0,27.567057445786183,3,3.0,11711.0,3,2
E,E01003533,27.567,15.8,8.9,27.567,3,3.0,11712.5,3,2
E,E01004832,27.567,17.599999999999998,12.9,27.567,3,3.0,11712.5,3,2
E,E01024559,27.566,16.0,11.5,27.566,3,3.0,11714.5,3,2
E,E01005478,27.566,14.099999999999998,12.7,27.566,3,3.0,11714.5,3,2
E,E01015056,27.564,14.499999999999998,13.600000000000001,27.564,3,3.0,11716.0,3,2
S,S01011442,30.14121231918489,17.0,16.0,27.562224911342128,3,3.0,11717.0,3,2
E,E01033626,27.561,17.2,9.0,27.561,3,3.0,11718.0,3,2
E,E01032581,27.56,18.9,11.700000000000001,27.56,3,3.0,11719.5,3,2
E,E01023972,27.56,17.599999999999998,12.7,27.56,3,3.0,11719.5,3,2
S,S01012717,30.68903470674632,20.0,16.0,27.559780027724,3,3.0,11721.0,3,2
E,E01033401,27.559,9.9,5.7,27.559,3,3.0,11722.5,3,2
E,E01018978,27.559,19.5,11.1,27.559,3,3.0,11722.5,3,2
E,E01010253,27.556,19.1,13.100000000000001,27.556,3,3.0,11725.0,3,2
E,E01029338,27.556,8.4,5.8999999999999995,27.556,3,3.0,11725.0,3,2
E,E01023669,27.556,19.3,11.600000000000001,27.556,3,3.0,11725.0,3,2
E,E01029527,27.555,18.7,13.900000000000002,27.555,3,3.0,11727.0,3,2
E,E01032627,27.551,17.9,14.799999999999999,27.551,3,3.0,11728.0,3,2
W,W01001187,23.1,17.0,14.0,27.550564389183865,4,3.0,11729.0,3,2
E,E01013660,27.549,18.7,10.8,27.549,3,3.0,11730.0,3,2
W,W01000152,23.5,19.0,13.0,27.54685369096801,4,3.0,11731.0,3,2
E,E01026802,27.546,14.899999999999999,10.299999999999999,27.546,3,3.0,11732.0,3,2
E,E01000127,27.543,19.3,12.9,27.543,3,3.0,11733.5,3,2
E,E01021588,27.543,16.900000000000002,14.899999999999999,27.543,3,3.0,11733.5,3,2
E,E01017499,27.541,13.0,14.6,27.541,3,3.0,11735.0,3,2
E,E01032484,27.538,16.6,12.7,27.538,3,3.0,11736.5,3,2
E,E01025376,27.538,21.3,14.499999999999998,27.538,3,3.0,11736.5,3,2
E,E01012860,27.536,12.8,10.0,27.536,3,3.0,11738.0,3,2
S,S01007970,29.046894220428925,19.0,12.0,27.535221691004217,3,3.0,11739.0,3,2
E,E01013773,27.534,18.2,12.9,27.534,3,3.0,11740.0,3,2
E,E01029808,27.529,14.7,11.799999999999999,27.529,3,3.0,11741.0,3,2
E,E01031006,27.528,16.2,13.0,27.528,3,3.0,11742.0,3,2
E,E01011098,27.525,15.7,11.600000000000001,27.525,3,3.0,11743.0,3,2
E,E01008510,27.524,18.3,14.299999999999999,27.524,3,3.0,11744.0,3,2
W,W01001523,23.8,17.0,11.0,27.523335600751878,4,3.0,11745.0,3,2
S,S01011649,29.396864147910023,19.0,13.0,27.522338580388634,3,3.0,11746.0,3,2
S,S01011266,29.395096848035585,19.0,13.0,27.520060157003442,3,3.0,11747.0,3,2
E,E01032925,27.52,14.6,11.3,27.52,3,3.0,11748.0,3,2
E,E01000515,27.517,17.4,9.700000000000001,27.517,3,3.0,11749.0,3,2
S,S01008227,29.201848809564904,16.0,14.0,27.515558003460445,3,3.0,11750.0,3,2
E,E01031058,27.514,15.2,13.100000000000001,27.514,3,3.0,11751.0,3,2
W,W01000456,22.9,15.0,14.0,27.51397100704077,4,3.0,11752.0,3,2
W,W01000809,23.3,17.0,13.0,27.51026030882491,4,3.0,11753.0,3,2
E,E01024307,27.51,15.8,14.099999999999998,27.51,3,3.0,11754.0,3,2
E,E01015667,27.509,15.299999999999999,8.799999999999999,27.509,3,3.0,11755.5,3,2
E,E01010018,27.509,19.1,13.200000000000001,27.509,3,3.0,11755.5,3,2
E,E01010361,27.508,17.299999999999997,11.200000000000001,27.508,3,3.0,11757.0,3,2
E,E01003332,27.507,17.0,10.100000000000001,27.507,3,3.0,11758.0,3,2
E,E01014571,27.504,13.5,10.299999999999999,27.504,3,3.0,11759.0,3,2
E,E01027396,27.499,17.1,15.0,27.499,3,3.0,11760.5,3,2
E,E01032422,27.499,17.4,12.1,27.499,3,3.0,11760.5,3,2
E,E01020155,27.498,20.4,16.2,27.498,3,3.0,11762.0,3,2
E,E01007747,27.497,16.8,14.2,27.497,3,3.0,11763.0,3,2
E,E01004197,27.495,18.4,10.299999999999999,27.495,3,3.0,11764.0,3,2
E,E01016854,27.494,16.5,14.399999999999999,27.494,3,3.0,11765.0,3,2
E,E01007852,27.493,13.100000000000001,12.2,27.493,3,3.0,11766.0,3,2
S,S01011577,29.90893720223477,18.0,15.0,27.49060692099288,3,3.0,11767.0,3,2
E,E01032456,27.49,17.1,13.700000000000001,27.49,3,3.0,11768.0,3,2
E,E01005870,27.489,12.1,8.7,27.489,3,3.0,11769.0,3,2
E,E01021508,27.488,16.400000000000002,11.0,27.488,3,3.0,11771.0,3,2
E,E01010349,27.488,20.5,15.0,27.488,3,3.0,11771.0,3,2
E,E01009089,27.488,18.5,11.600000000000001,27.488,3,3.0,11771.0,3,2
S,S01008479,28.276538076970997,15.0,12.0,27.48700809782963,3,3.0,11773.0,3,2
E,E01033661,27.487,5.800000000000001,2.8000000000000003,27.487,3,3.0,11774.0,3,2
E,E01013455,27.483,17.599999999999998,14.7,27.483,3,3.0,11775.0,3,2
E,E01015148,27.479,15.8,13.3,27.479,3,3.0,11776.0,3,2
E,E01001938,27.478,22.2,11.700000000000001,27.478,3,3.0,11777.0,3,2
